"","...1","program","parent_project","project","station_name","year","month","date","collection_time","collection_depth","unit_collection_depth","collection_replicate","lab_replicate","tox_batch","matrix_name","method_name","tox_test_dur_code","organism_name","analyte","unit","wq_source","time_point_name","result","result_qual_code","tox_result_qa_code","qa_code","sample_agency","group_samples","collection_method_name","latitude","longitude","collection_device_description","position_water_column","tie_narrative","dilution","tox_point_method","treatment","unit_treatment","treatment_concentration","lab_agency","submitting_agency","tox_batch_start_date","ref_tox_batch","organism_age_at_test_start","occupation_method","starting_bank","distance_from_bank","unit_distance_from_bank","stream_width","unit_stream_width","station_water_depth","unit_station_water_depth","hydro_mod","hydro_mod_loc","pct_control","rep_count","mean","std_dev","stat_method","probability","alphalevel","eval_threshold","msd","sig_effect_code","channel_width","upstream_length","downstream_length","total_reach","calculated_value","percent_effect","dw_analyte_name","data_quality","data_quality_indicator","datum","year_num"
"1",23352,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","06","23",1899-12-30 13:50:00,-88,"cm",1,0,"SRWP_UCD-ATL_CD_062598","samplewater","Not Recorded","7 days","Ceriodaphnia dubia","pH","none","overlyingwater","Day 1",7.87,"=","NR","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"ToxWQMeasurement","None","none",0,"UCD-ATL","UCD-ATL","Jun 25 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pH","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"2",23353,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","07","21",1899-12-30 12:10:00,-88,"cm",1,NA,"SRWP_UCD-ATL_CD_072398","samplewater","Not Recorded","7 days","Ceriodaphnia dubia","Reproduction","neonates/adult","not applicable","Day 7",NA,NA,"q","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","Yes",100,"None","None","none",0,"UCD-ATL","UCD-ATL","Jul 23 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,-88,12.1,-88,"NR","Probability",0.05,-88,-88,"S",NA,NA,NA,NA,-88,-88,"Reproduction","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"3",23354,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","07","21",1899-12-30 12:10:00,-88,"cm",1,NA,"SRWP_UCD-ATL_PP_072398","samplewater","Not Recorded","7 days","Pimephales promelas","Growth (wt/surv indiv)","mg/ind","not applicable","Day 7",NA,NA,"q","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"None","None","none",0,"UCD-ATL","UCD-ATL","Jul 23 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,-88,0.314,-88,"NR","Probability",0.05,-88,-88,"NS",NA,NA,NA,NA,-88,-88,"Growth (wt/surv indiv)","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"4",23355,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","07","21",1899-12-30 12:10:00,-88,"cm",1,0,"SRWP_UCD-ATL_PP_072398","samplewater","Not Recorded","7 days","Pimephales promelas","pH","none","overlyingwater","initial",7.9,"=","NR","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"ToxWQMeasurement","None","none",0,"UCD-ATL","UCD-ATL","Jul 23 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pH","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"5",23356,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","08","18",1899-12-30 17:20:00,-88,"cm",1,NA,"SRWP_UCD-ATL_CD_082098","samplewater","Not Recorded","6 days","Ceriodaphnia dubia","Mortality/Normality","%","not applicable","Day 6",NA,NA,"q","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"None","None","none",0,"UCD-ATL","UCD-ATL","Aug 20 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,-88,0,-88,"NR","Probability",0.05,-88,-88,"NR",NA,NA,NA,NA,-88,-88,"Mortality/Normality","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"6",23357,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","08","18",1899-12-30 17:20:00,-88,"cm",1,NA,"SRWP_UCD-ATL_PP_082098","samplewater","Not Recorded","7 days","Pimephales promelas","Mortality/Normality","%","not applicable","Day 7",NA,NA,"q","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"None","None","none",0,"UCD-ATL","UCD-ATL","Aug 20 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,-88,7.5,-88,"NR","Probability",0.05,-88,-88,"S",NA,NA,NA,NA,-88,-88,"Mortality/Normality","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"7",23358,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","09","16",1899-12-30 08:27:00,-88,"cm",1,NA,"SRWP_UCD-ATL_CD_091798","samplewater","Not Recorded","7 days","Ceriodaphnia dubia","Mortality/Normality","%","not applicable","Day 7",NA,NA,"q","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"None","None","none",0,"UCD-ATL","UCD-ATL","Sep 17 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,-88,0,-88,"NR","Probability",0.05,-88,-88,"NR",NA,NA,NA,NA,-88,-88,"Mortality/Normality","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"8",23359,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","09","16",1899-12-30 08:27:00,-88,"cm",1,NA,"SRWP_UCD-ATL_CD_091798","samplewater","Not Recorded","7 days","Ceriodaphnia dubia","Reproduction","neonates/adult","not applicable","Day 7",NA,NA,"q","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"None","None","none",0,"UCD-ATL","UCD-ATL","Sep 17 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88,-88,24.9,-88,"NR","Probability",0.05,-88,-88,"NS",NA,NA,NA,NA,-88,-88,"Reproduction","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"9",23360,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","09","16",1899-12-30 08:27:00,-88,"cm",1,0,"SRWP_UCD-ATL_CD_091798","samplewater","Not Recorded","7 days","Ceriodaphnia dubia","pH","none","overlyingwater","initial",7.63,"=","NR","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"ToxWQMeasurement","None","none",0,"UCD-ATL","UCD-ATL","Sep 17 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pH","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
"10",23361,"Sacramento River Watershed Program","Sacramento River Watershed Program","Sacramento River Watershed Program 1998","American River at Discovery Park (SVWQC)","1998","09","16",1899-12-30 08:27:00,-88,"cm",1,0,"SRWP_UCD-ATL_PP_091798","samplewater","Not Recorded","7 days","Pimephales promelas","pH","none","overlyingwater","initial",7.63,"=","NR","NR","University of California Davis-Aquatic Toxicology Lab",NA,"Water_Grab",38.60195,-121.501117,"Individual Collection by bucket sampler","Not Applicable","No",100,"ToxWQMeasurement","None","none",0,"UCD-ATL","UCD-ATL","Sep 17 1998 12:00AM","Not Recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pH","Unknown data quality","QACode:NR; BatchVerificationCode:NR","NAD83",1998
